#Replicon Name,Replicon Accession,Start,Stop,Strand,GeneID,Locus,Locus tag,Protein product,Length,COG(s),Protein name
chr,NC_003888.3,4802849,4803460,+,1099826,-,SCO4386,NP_628555.1,203,-,hypothetical protein SCO4386
chr,NC_003888.3,4803479,4804183,-,1099827,-,SCO4387,NP_628556.1,234,-,pyridoxamine oxidase
chr,NC_003888.3,4804464,4805564,+,1099828,-,SCO4388,NP_628557.2,366,-,citrate synthase 2
chr,NC_003888.3,4805897,4806772,+,1099829,-,SCO4389,NP_628558.1,291,-,acetyltransferase
chr,NC_003888.3,4806938,4808341,+,1099830,-,SCO4390,NP_628559.1,467,-,hypothetical protein SCO4390
chr,NC_003888.3,4808387,4808785,-,1099831,-,SCO4391,NP_628560.1,132,-,hypothetical protein SCO4391
chr,NC_003888.3,4808960,4809685,+,1099832,-,SCO4392,NP_628561.1,241,-,esterase
chr,NC_003888.3,4809858,4810613,-,1099833,-,SCO4393,NP_628562.1,251,-,hypothetical protein SCO4393
chr,NC_003888.3,4810836,4811528,+,1099834,-,SCO4394,NP_628563.1,230,-,iron repressor
chr,NC_003888.3,4811888,4812946,+,1099835,-,SCO4395,NP_628564.1,352,-,hydrolase
chr,NC_003888.3,4812954,4814606,-,1099836,-,SCO4396,NP_628565.1,550,-,integral membrane transport protein
chr,NC_003888.3,4814603,4815394,-,1099837,-,SCO4397,NP_628566.1,263,-,ABC transporter ATP-binding protein
chr,NC_003888.3,4815510,4816163,-,1099838,-,SCO4398,NP_628567.1,217,-,hypothetical protein SCO4398
chr,NC_003888.3,4816468,4817853,+,1099839,-,SCO4399,NP_628568.1,461,-,hypothetical protein SCO4399
chr,NC_003888.3,4818113,4819708,+,1099840,-,SCO4400,NP_628569.1,531,-,hypothetical protein SCO4400
chr,NC_003888.3,4819767,4821083,-,1099841,-,SCO4401,NP_628570.1,438,-,lipoprotein
chr,NC_003888.3,4821200,4821700,+,1099842,-,SCO4402,NP_628571.1,166,-,hypothetical protein SCO4402
chr,NC_003888.3,4821748,4822641,+,1099843,purU,SCO4403,NP_733636.1,297,-,formyltetrahydrofolate deformylase
chr,NC_003888.3,4822683,4823471,-,1099844,-,SCO4404,NP_628572.1,262,-,ABC transporter
chr,NC_003888.3,4823468,4824442,-,1099845,-,SCO4405,NP_628573.1,324,-,ABC transporter ATP-binding protein
chr,NC_003888.3,4824455,4825120,-,1099846,-,SCO4406,NP_628574.1,221,-,hypothetical protein SCO4406
chr,NC_003888.3,4825352,4826125,+,1099847,-,SCO4407,NP_628575.1,257,-,hypothetical protein SCO4407
chr,NC_003888.3,4826082,4827368,-,1099848,-,SCO4408,NP_628576.1,428,-,hypothetical protein SCO4408
chr,NC_003888.3,4827365,4827958,-,1099849,-,SCO4409,NP_628577.1,197,-,RNA polymerase sigma factor
chr,NC_003888.3,4828287,4828667,+,1099850,-,SCO4410,NP_628578.1,126,-,anti anti sigma factor
chr,NC_003888.3,4828773,4829285,+,1099851,-,SCO4411,NP_628579.1,170,-,calcium binding protein
chr,NC_003888.3,4829856,4830347,+,1099852,-,SCO4412,NP_628580.1,163,-,regulatory protein
chr,NC_003888.3,4830650,4831684,-,1099853,-,SCO4413,NP_628581.1,344,-,AraC family transcription regulator
chr,NC_003888.3,4831769,4833094,+,1099854,-,SCO4414,NP_628582.1,441,-,integral membrane transport protein
chr,NC_003888.3,4833116,4833988,+,1099855,-,SCO4415,NP_628583.1,290,-,hypothetical protein SCO4415
chr,NC_003888.3,4834171,4835376,-,1099856,-,SCO4416,NP_628584.1,401,-,monooxygenase
chr,NC_003888.3,4835476,4836093,+,1099857,-,SCO4417,NP_628585.1,205,-,acetyltransferase
chr,NC_003888.3,4836101,4836769,-,1099858,-,SCO4418,NP_628586.1,222,-,oxidase
chr,NC_003888.3,4836783,4837208,-,1099859,-,SCO4419,NP_628587.1,141,-,hypothetical protein SCO4419
chr,NC_003888.3,4837226,4837537,+,1099860,-,SCO4420,NP_628588.1,103,-,hypothetical protein SCO4420
chr,NC_003888.3,4837557,4838192,-,1099861,-,SCO4421,NP_628589.1,211,-,TetR family transcriptional regulator
chr,NC_003888.3,4838327,4839085,+,1099862,-,SCO4422,NP_628590.1,252,-,hydrolase
chr,NC_003888.3,4839304,4841703,+,1099863,-,SCO4423,NP_733637.1,799,-,Ser/Thr protein kinase
chr,NC_003888.3,4841760,4842290,+,1099864,-,SCO4424,NP_628591.1,176,-,hypothetical protein SCO4424
chr,NC_003888.3,4842382,4842573,-,1099865,-,SCO4425,NP_628592.1,63,-,sigma-like protein
chr,NC_003888.3,4842787,4845768,-,1099866,-,SCO4426,NP_628593.1,993,-,regulatory protein
chr,NC_003888.3,4845862,4846281,-,1099867,-,SCO4427,NP_628594.1,139,-,hypothetical protein SCO4427
chr,NC_003888.3,4846352,4847875,-,1099868,-,SCO4428,NP_628595.1,507,-,hypothetical protein SCO4428
chr,NC_003888.3,4848064,4850667,+,1099869,fbiC,SCO4429,NP_628596.1,867,-,FO synthase
chr,NC_003888.3,4850736,4851305,+,1099870,-,SCO4430,NP_628597.1,189,-,hypothetical protein SCO4430
chr,NC_003888.3,4851343,4851852,-,1099871,-,SCO4431,NP_628598.1,169,-,hypothetical protein SCO4431
chr,NC_003888.3,4851904,4852578,+,1099872,-,SCO4432,NP_628599.1,224,-,hypothetical protein SCO4432
chr,NC_003888.3,4852634,4853044,-,1099873,-,SCO4433,NP_628600.1,136,-,hypothetical protein SCO4433
chr,NC_003888.3,4853069,4853965,+,1099874,-,SCO4434,NP_628601.1,298,-,LysR family transcriptional regulator
chr,NC_003888.3,4854071,4855186,+,1099875,-,SCO4435,NP_628602.1,371,-,hypothetical protein SCO4435
chr,NC_003888.3,4855250,4855660,+,1099876,-,SCO4436,NP_628603.1,136,-,lyase
chr,NC_003888.3,4855908,4857491,-,1099877,-,SCO4437,NP_628604.1,527,-,sodium-coupled permease
chr,NC_003888.3,4857727,4859604,-,1099878,-,SCO4438,NP_628605.1,625,-,hypothetical protein SCO4438
chr,NC_003888.3,4859813,4862311,-,1099879,-,SCO4439,NP_628606.1,832,-,D-alanyl-D-alanine carboxypeptidase
chr,NC_003888.3,4862642,4863400,+,1099880,-,SCO4440,NP_628607.1,252,-,hypothetical protein SCO4440
chr,NC_003888.3,4863620,4864507,+,1099881,-,SCO4441,NP_628608.1,295,-,DNA-binding protein
chr,NC_003888.3,4864681,4864872,+,1099882,-,SCO4442,NP_628609.1,63,-,hypothetical protein SCO4442
chr,NC_003888.3,4864966,4865850,-,1099883,-,SCO4443,NP_628610.1,294,-,MerR family transcriptional regulator
chr,NC_003888.3,4865924,4866505,-,1099884,-,SCO4444,NP_628611.1,193,-,glutathione peroxidase
chr,NC_003888.3,4866642,4867625,-,1099885,-,SCO4445,NP_628612.1,327,-,transcriptional regulator
chr,NC_003888.3,4867733,4868950,+,1099886,-,SCO4446,NP_628613.1,405,-,hypothetical protein SCO4446
chr,NC_003888.3,4869137,4870225,+,1099887,-,SCO4447,NP_628614.1,362,-,hypothetical protein SCO4447
chr,NC_003888.3,4870304,4870987,-,1099888,-,SCO4448,NP_628615.1,227,-,hypothetical protein SCO4448
chr,NC_003888.3,4871042,4871941,-,1099889,-,SCO4449,NP_628616.1,299,-,hydrolase
chr,NC_003888.3,4872011,4872658,+,1099890,-,SCO4450,NP_628617.1,215,-,TetR family transcriptional regulator
chr,NC_003888.3,4872768,4874393,+,1099891,-,SCO4451,NP_628618.1,541,-,export protein
chr,NC_003888.3,4874365,4875516,-,1099892,-,SCO4452,NP_628619.1,383,-,RNA polymerase sigma factor
chr,NC_003888.3,4875525,4875932,-,1099893,-,SCO4453,NP_628620.1,135,-,hypothetical protein SCO4453
chr,NC_003888.3,4876023,4876625,-,1099894,-,SCO4454,NP_628621.1,200,-,transcriptional regulator
chr,NC_003888.3,4876807,4877370,+,1099895,-,SCO4455,NP_628622.1,187,-,hypothetical protein SCO4455
chr,NC_003888.3,4877431,4879017,+,1099896,-,SCO4456,NP_628623.1,528,-,membrane-associated oxidoreductase
chr,NC_003888.3,4879075,4880076,-,1099897,-,SCO4457,NP_628624.1,333,-,hypothetical protein SCO4457
chr,NC_003888.3,4880330,4880974,-,1099898,-,SCO4458,NP_733638.1,214,-,lipoprotein
chr,NC_003888.3,4881117,4881521,-,1099899,-,SCO4459,NP_628625.1,134,-,hypothetical protein SCO4459
chr,NC_003888.3,4881544,4882014,+,1099900,-,SCO4460,NP_628626.1,156,-,hypothetical protein SCO4460
chr,NC_003888.3,4882032,4882589,-,1099901,-,SCO4461,NP_628627.1,185,-,TetR family transcriptional regulator
chr,NC_003888.3,4882715,4883962,+,1099902,-,SCO4462,NP_628628.1,415,-,hypothetical protein SCO4462
chr,NC_003888.3,4883959,4884108,+,1099903,-,SCO4463,NP_628629.1,49,-,hypothetical protein SCO4463
chr,NC_003888.3,4884219,4884893,-,1099904,-,SCO4464,NP_628630.1,224,-,hydrolase
chr,NC_003888.3,4884932,4885462,+,1099905,-,SCO4465,NP_628631.1,176,-,hypothetical protein SCO4465
chr,NC_003888.3,4885528,4886016,-,1099906,-,SCO4466,NP_628632.1,162,-,hypothetical protein SCO4466
chr,NC_003888.3,4886067,4886504,-,1099907,-,SCO4467,NP_628633.1,145,-,hypothetical protein SCO4467
chr,NC_003888.3,4886495,4886701,-,1099908,-,SCO4468,NP_628634.1,68,-,hypothetical protein SCO4468
chr,NC_003888.3,4886990,4888306,+,1099909,-,SCO4469,NP_628635.1,438,-,glutamate-1-semialdehyde aminotransferase
chr,NC_003888.3,4888303,4889004,+,1099910,-,SCO4470,NP_628636.1,233,-,phosphoglycerate mutase
chr,NC_003888.3,4889161,4890459,+,1099911,-,SCO4471,NP_628637.1,432,-,hypothetical protein SCO4471
chr,NC_003888.3,4890549,4891220,+,1099912,-,SCO4472,NP_628638.1,223,-,hypothetical protein SCO4472
chr,NC_003888.3,4891231,4891992,+,1099913,-,SCO4473,NP_628639.1,253,-,cytochrome biogenesis-like protein
chr,NC_003888.3,4891996,4893720,+,1099914,-,SCO4474,NP_628640.1,574,-,hypothetical protein SCO4474
chr,NC_003888.3,4893909,4895051,+,1099915,-,SCO4475,NP_628641.1,380,-,cytochrome biogenesis-like protein
chr,NC_003888.3,4895198,4896619,-,1099916,-,SCO4476,NP_628642.1,473,-,hypothetical protein SCO4476
chr,NC_003888.3,4896795,4897511,-,1099917,-,SCO4477,NP_628643.1,238,-,MerR family transcriptional regulator
chr,NC_003888.3,4897544,4898155,+,1099918,-,SCO4478,NP_628644.1,203,-,transferase
chr,NC_003888.3,4898224,4899117,-,1099919,-,SCO4479,NP_628645.1,297,-,hydrolase
chr,NC_003888.3,4899301,4899918,-,1099920,-,SCO4480,NP_628646.1,205,-,TetR family transcriptional regulator
chr,NC_003888.3,4900077,4901975,+,1099921,-,SCO4481,NP_733639.1,632,-,Ser/Thr protein kinase
chr,NC_003888.3,4901972,4902832,-,1099922,-,SCO4482,NP_628647.1,286,-,LysR family transcriptional regulator
chr,NC_003888.3,4902880,4903482,+,1099923,-,SCO4483,NP_628648.1,200,-,hypothetical protein SCO4483
chr,NC_003888.3,4903479,4903841,+,1099924,-,SCO4484,NP_628649.1,120,-,hypothetical protein SCO4484
chr,NC_003888.3,4903856,4904881,-,1099925,-,SCO4485,NP_628650.1,341,-,transcriptional regulator
chr,NC_003888.3,4904976,4905383,+,1099926,-,SCO4486,NP_628651.1,135,-,hypothetical protein SCO4486
chr,NC_003888.3,4905443,4907221,+,1099927,-,SCO4487,NP_628652.1,592,-,Ser/Thr protein kinase
chr,NC_003888.3,4907340,4909220,+,1099928,-,SCO4488,NP_628653.1,626,-,Ser/Thr protein kinase
chr,NC_003888.3,4909224,4909526,-,1099929,-,SCO4489,NP_628654.1,100,-,hypothetical protein SCO4489
chr,NC_003888.3,4909614,4911071,+,1099930,-,SCO4490,NP_628655.1,485,-,decarboxylase
chr,NC_003888.3,4911068,4911973,+,1099931,ubiA,SCO4491,NP_628656.1,301,-,prenyltransferase
chr,NC_003888.3,4912029,4912679,+,1099932,-,SCO4492,NP_628657.1,216,-,octaprenyl carboxylase
chr,NC_003888.3,4912701,4913204,+,1099933,-,SCO4493,NP_628658.1,167,-,transcription regulator AsnC
chr,NC_003888.3,4913249,4914412,+,1099934,-,SCO4494,NP_733640.1,387,-,hypothetical protein SCO4494
chr,NC_003888.3,4914637,4915275,+,1099935,-,SCO4495,NP_628659.1,212,-,DNA polymerase-like protein
chr,NC_003888.3,4915292,4915816,+,1099936,-,SCO4496,NP_628660.1,174,-,acetyltransferase
chr,NC_003888.3,4915937,4916236,+,1099937,-,SCO4497,NP_628661.1,99,-,hypothetical protein SCO4497
chr,NC_003888.3,4916551,4917873,+,1099938,-,SCO4498,NP_628662.1,440,-,proton transport protein
chr,NC_003888.3,4917934,4918656,+,1099939,-,SCO4499,NP_628663.1,240,-,TetR family transcriptional regulator
chr,NC_003888.3,4919005,4919880,-,1099940,-,SCO4500,NP_628664.1,291,-,dehydratase
chr,NC_003888.3,4919880,4921172,-,1099941,fabG,SCO4501,NP_628665.1,430,-,3-ketoacyl-ACP reductase
chr,NC_003888.3,4921335,4922621,+,1099942,-,SCO4502,NP_628666.1,428,-,acetyl-CoA acetyltransferase
chr,NC_003888.3,4923031,4924959,+,1099943,-,SCO4503,NP_628667.1,642,-,long-chain-fatty acid CoA ligase
chr,NC_003888.3,4924984,4925628,-,1099944,-,SCO4504,NP_628668.1,214,-,methyltransferase
chr,NC_003888.3,4925750,4925953,-,1099945,-,SCO4505,NP_628669.1,67,-,cold shock protein
chr,NC_003888.3,4926246,4927094,+,1099946,-,SCO4506,NP_628670.1,282,-,hypothetical protein SCO4506
chr,NC_003888.3,4927170,4928930,+,1099947,-,SCO4507,NP_628671.1,586,-,Ser/Thr protein kinase
chr,NC_003888.3,4928991,4933568,-,1099948,-,SCO4508,NP_628672.1,1525,-,cell division-like protein
chr,NC_003888.3,4933782,4934156,+,1099949,-,SCO4509,NP_628673.1,124,-,hypothetical protein SCO4509
chr,NC_003888.3,4934190,4934597,-,1099950,-,SCO4510,NP_628674.1,135,-,hypothetical protein SCO4510
chr,NC_003888.3,4934688,4935107,-,1099951,-,SCO4511,NP_628675.1,139,-,hypothetical protein SCO4511
chr,NC_003888.3,4935104,4935685,-,1099952,-,SCO4512,NP_628676.1,193,-,hypothetical protein SCO4512
chr,NC_003888.3,4935682,4936350,-,1099953,-,SCO4513,NP_628677.1,222,-,hypothetical protein SCO4513
chr,NC_003888.3,4936347,4936925,-,1099954,-,SCO4514,NP_628678.1,192,-,hypothetical protein SCO4514
chr,NC_003888.3,4936959,4938164,-,1099955,-,SCO4515,NP_628679.1,401,-,hypothetical protein SCO4515
chr,NC_003888.3,4938161,4938520,-,1099956,-,SCO4516,NP_628680.1,119,-,hypothetical protein SCO4516
chr,NC_003888.3,4938790,4939515,-,1099957,-,SCO4517,NP_628681.1,241,-,hypothetical protein SCO4517
chr,NC_003888.3,4939512,4940861,-,1099958,-,SCO4518,NP_628682.1,449,-,hypothetical protein SCO4518
chr,NC_003888.3,4940966,4941562,+,1099959,-,SCO4519,NP_628683.1,198,-,hypothetical protein SCO4519
chr,NC_003888.3,4941567,4941872,-,1099960,-,SCO4520,NP_628684.1,101,-,hypothetical protein SCO4520
chr,NC_003888.3,4941895,4942980,-,1099961,-,SCO4521,NP_628685.1,361,-,hypothetical protein SCO4521
chr,NC_003888.3,4942977,4943453,-,1099962,-,SCO4522,NP_628686.1,158,-,hypothetical protein SCO4522
chr,NC_003888.3,4943703,4944296,+,1099963,-,SCO4523,NP_628687.1,197,-,hypothetical protein SCO4523
chr,NC_003888.3,4945126,4945845,+,1099964,-,SCO4524,NP_628688.1,239,-,hypothetical protein SCO4524
chr,NC_003888.3,4945864,4946745,+,1099965,-,SCO4525,NP_628689.1,293,-,hypothetical protein SCO4525
chr,NC_003888.3,4946742,4948049,+,1099966,-,SCO4526,NP_628690.1,435,-,protein kinase
chr,NC_003888.3,4948063,4949100,+,1099967,-,SCO4527,NP_628691.1,345,-,hypothetical protein SCO4527
chr,NC_003888.3,4949109,4950017,+,1099968,-,SCO4528,NP_628692.1,302,-,hypothetical protein SCO4528
chr,NC_003888.3,4950014,4950367,+,1099969,-,SCO4529,NP_628693.1,117,-,hypothetical protein SCO4529
chr,NC_003888.3,4950395,4950955,+,1099970,-,SCO4530,NP_733641.1,186,-,hypothetical protein SCO4530
chr,NC_003888.3,4950956,4951393,+,1099971,-,SCO4531,NP_628694.1,145,-,septum determining protein
chr,NC_003888.3,4951390,4951851,+,1099972,-,SCO4532,NP_628695.1,153,-,hypothetical protein SCO4532
chr,NC_003888.3,4951930,4952256,+,1099973,-,SCO4533,NP_628696.1,108,-,hypothetical protein SCO4533
chr,NC_003888.3,4952253,4953677,+,1099974,-,SCO4534,NP_628697.1,474,-,hypothetical protein SCO4534
chr,NC_003888.3,4953674,4955002,+,1099975,-,SCO4535,NP_628698.1,442,-,hypothetical protein SCO4535
chr,NC_003888.3,4954999,4955643,+,1099976,-,SCO4536,NP_628699.1,214,-,hypothetical protein SCO4536
chr,NC_003888.3,4955640,4956245,+,1099977,-,SCO4537,NP_628700.1,201,-,hypothetical protein SCO4537
chr,NC_003888.3,4956301,4956636,-,1099978,-,SCO4538,NP_628701.1,111,-,hypothetical protein SCO4538
chr,NC_003888.3,4956659,4957264,-,1099979,-,SCO4539,NP_628702.1,201,-,hypothetical protein SCO4539
chr,NC_003888.3,4957302,4957544,-,1099980,-,SCO4540,NP_628703.1,80,-,hypothetical protein SCO4540
chr,NC_003888.3,4957723,4959303,-,1099981,-,SCO4541,NP_628704.1,526,-,hypothetical protein SCO4541
chr,NC_003888.3,4959382,4959573,-,1099982,-,SCO4542,NP_628705.1,63,-,hypothetical protein SCO4542
chr,NC_003888.3,4959584,4960435,-,1099983,-,SCO4543,NP_628706.1,283,-,hypothetical protein SCO4543
chr,NC_003888.3,4960649,4961074,+,1099984,-,SCO4544,NP_628707.1,141,-,hypothetical protein SCO4544
chr,NC_003888.3,4961108,4962022,+,1099985,-,SCO4545,NP_628708.1,304,-,hypothetical protein SCO4545
chr,NC_003888.3,4962128,4962778,+,1099986,-,SCO4546,NP_628709.1,216,-,lipoprotein
chr,NC_003888.3,4962778,4963845,+,1099987,-,SCO4547,NP_628710.1,355,-,hypothetical protein SCO4547
chr,NC_003888.3,4964061,4967069,+,1099988,-,SCO4548,NP_733642.1,1002,-,"hypothetical protein SCO4548, partial"
chr,NC_003888.3,4967066,4967845,+,1099989,-,SCO4549,NP_628711.1,259,-,type IV peptidase
chr,NC_003888.3,4967924,4969123,+,1099990,-,SCO4550,NP_628712.1,399,-,hypothetical protein SCO4550
chr,NC_003888.3,4969131,4969730,+,1099991,-,SCO4551,NP_628713.1,199,-,hypothetical protein SCO4551
chr,NC_003888.3,4969766,4970770,-,1099992,-,SCO4552,NP_628714.1,334,-,hydrolase
chr,NC_003888.3,4970964,4971383,+,1099993,-,SCO4553,NP_628715.1,139,-,hypothetical protein SCO4553
chr,NC_003888.3,4971401,4973632,+,1099994,-,SCO4554,NP_628716.1,743,-,bifunctional transferase/deacetylase
chr,NC_003888.3,4973632,4974723,+,1099995,-,SCO4555,NP_628717.1,363,-,integral membrane transferase
chr,NC_003888.3,4974767,4975462,+,1099996,ubiE,SCO4556,NP_628718.1,231,-,ubiquinone/menaquinone biosynthesis methyltransferase
chr,NC_003888.3,4975449,4975796,-,1099997,-,SCO4557,NP_628719.1,115,-,hypothetical protein SCO4557
chr,NC_003888.3,4975855,4976418,-,1099998,-,SCO4558,NP_628720.1,187,-,acetyltransferase
chr,NC_003888.3,4976516,4977808,+,1099999,-,SCO4559,NP_628721.1,430,-,electron transfer oxidoreductase
chr,NC_003888.3,4977869,4978495,-,1100000,-,SCO4560,NP_628722.1,208,-,polypetide deformylase
chr,NC_003888.3,4978629,4979462,-,1100001,-,SCO4561,NP_628723.1,277,-,hypothetical protein SCO4561
chr,NC_003888.3,4980274,4980633,+,1100002,-,SCO4562,NP_628724.1,119,-,NADH dehydrogenase subunit A
chr,NC_003888.3,4980646,4981200,+,1100003,-,SCO4563,NP_628725.1,184,-,NADH dehydrogenase subunit B
chr,NC_003888.3,4981197,4981952,+,1100004,-,SCO4564,NP_628726.1,251,-,NADH dehydrogenase subunit C
chr,NC_003888.3,4981949,4983271,+,1100005,-,SCO4565,NP_628727.1,440,-,NADH dehydrogenase subunit D
chr,NC_003888.3,4983268,4984140,+,1100006,-,SCO4566,NP_628728.1,290,-,NADH dehydrogenase subunit E
chr,NC_003888.3,4984137,4985486,+,1100007,-,SCO4567,NP_628729.1,449,-,NADH dehydrogenase subunit NuoF
chr,NC_003888.3,4985483,4988014,+,1100008,-,SCO4568,NP_628730.1,843,-,NADH dehydrogenase subunit G
chr,NC_003888.3,4988011,4989414,+,1100009,-,SCO4569,NP_628731.1,467,-,NADH dehydrogenase subunit H
chr,NC_003888.3,4989449,4990084,+,1100010,-,SCO4570,NP_628732.1,211,-,NADH dehydrogenase subunit I
chr,NC_003888.3,4990081,4990938,+,1100011,-,SCO4571,NP_628733.1,285,-,NADH dehydrogenase subunit J
chr,NC_003888.3,4990935,4991234,+,1100012,-,SCO4572,NP_628734.1,99,-,NADH dehydrogenase subunit K
chr,NC_003888.3,4991249,4993213,+,1100013,-,SCO4573,NP_628735.1,654,-,NADH dehydrogenase subunit L
chr,NC_003888.3,4993219,4994790,+,1100014,-,SCO4574,NP_628736.1,523,-,NADH dehydrogenase subunit M
chr,NC_003888.3,4994787,4996445,+,1100015,-,SCO4575,NP_628737.1,552,-,NADH dehydrogenase subunit N
chr,NC_003888.3,4996565,4997164,-,1100016,-,SCO4576,NP_628738.1,199,-,hypothetical protein SCO4576
chr,NC_003888.3,4997397,4999427,+,1100017,-,SCO4577,NP_628739.1,676,-,helicase
chr,NC_003888.3,4999466,4999690,-,1100018,-,SCO4578,NP_628740.1,74,-,hypothetical protein SCO4578
chr,NC_003888.3,4999752,5000690,-,1100019,-,SCO4579,NP_628741.1,312,-,hypothetical protein SCO4579
chr,NC_003888.3,5000997,5002253,-,1100020,-,SCO4580,NP_628742.1,418,-,fumarylacetoacetase
chr,NC_003888.3,5002738,5003547,+,1100021,-,SCO4581,NP_628743.1,269,-,hypothetical protein SCO4581
chr,NC_003888.3,5003571,5004062,-,1100022,-,SCO4582,NP_628744.1,163,-,hypothetical protein SCO4582
chr,NC_003888.3,5004917,5005927,+,1100023,-,SCO4583,NP_628745.1,336,-,polyprenyl diphosphate synthase
chr,NC_003888.3,5006187,5007449,+,1100024,-,SCO4584,NP_628746.1,420,-,hypothetical protein SCO4584
chr,NC_003888.3,5007502,5008485,+,1100025,-,SCO4585,NP_628747.1,327,-,ABC transporter ATP-binding protein
chr,NC_003888.3,5008487,5009416,+,1100026,-,SCO4586,NP_628748.1,309,-,ABC transporter
chr,NC_003888.3,5009444,5010046,-,1100027,-,SCO4587,NP_628749.1,200,-,hypothetical protein SCO4587
chr,NC_003888.3,5010182,5011708,+,1100028,-,SCO4588,NP_628750.1,508,-,hypothetical protein SCO4588
chr,NC_003888.3,5011745,5012719,-,1100029,-,SCO4589,NP_628751.1,324,-,aminopeptidase
chr,NC_003888.3,5012930,5013400,-,1100030,-,SCO4590,NP_628752.1,156,-,hypothetical protein SCO4590
chr,NC_003888.3,5013530,5014102,+,1100031,-,SCO4591,NP_628753.1,190,-,hypothetical protein SCO4591
chr,NC_003888.3,5014126,5015214,-,1100032,-,SCO4592,NP_628754.1,362,-,hypothetical protein SCO4592
chr,NC_003888.3,5015360,5016214,-,1100033,-,SCO4593,NP_628755.1,284,-,hypothetical protein SCO4593
chr,NC_003888.3,5016376,5017434,-,1100034,-,SCO4594,NP_628756.1,352,-,2-oxoglutarate ferredoxin oxidoreductase subunit beta
chr,NC_003888.3,5017427,5019364,-,1100035,-,SCO4595,NP_628757.1,645,-,oxidoreductase
chr,NC_003888.3,5019699,5020370,-,1100036,-,SCO4596,NP_628758.1,223,-,two-component system response regulator
chr,NC_003888.3,5020678,5022045,-,1100037,-,SCO4597,NP_628759.1,455,-,two-component system sensor kinase
chr,NC_003888.3,5022159,5023382,-,1100038,-,SCO4598,NP_628760.1,407,-,two-component system sensor kinase
chr,NC_003888.3,5023578,5024018,+,1100039,-,SCO4599,NP_628761.1,146,-,NADH dehydrogenase subunit NuoA2
chr,NC_003888.3,5024015,5024713,+,1100040,-,SCO4600,NP_628762.1,232,-,NADH dehydrogenase subunit NuoB2
chr,NC_003888.3,5024710,5026071,+,1100041,-,SCO4601,NP_628763.1,453,-,dehydrogenase
chr,NC_003888.3,5026068,5027036,+,1100042,-,SCO4602,NP_628764.1,322,-,NADH dehydrogenase subunit NuoH2
chr,NC_003888.3,5027036,5027629,+,1100043,-,SCO4603,NP_628765.1,197,-,NADH dehydrogenase subunit NuoI2
chr,NC_003888.3,5027626,5028219,+,1100044,-,SCO4604,NP_628766.1,197,-,NADH dehydrogenase subunit NuoJ2
chr,NC_003888.3,5028219,5028611,+,1100045,-,SCO4605,NP_628767.1,130,-,NADH dehydrogenase subunit NuoK2
chr,NC_003888.3,5028608,5030602,+,1100046,-,SCO4606,NP_628768.1,664,-,NADH dehydrogenase subunit NuoL2
chr,NC_003888.3,5030609,5032213,+,1100047,-,SCO4607,NP_628769.1,534,-,NADH dehydrogenase subunit NuoM2
chr,NC_003888.3,5032210,5033757,+,1100048,-,SCO4608,NP_628770.1,515,-,NADH dehydrogenase subunit NuoN2
chr,NC_003888.3,5033984,5034847,+,1100049,-,SCO4609,NP_628771.1,287,-,heat shock protein HtpX
chr,NC_003888.3,5034844,5035260,+,1100050,-,SCO4610,NP_628772.1,138,-,hypothetical protein SCO4610
chr,NC_003888.3,5035358,5035951,+,1100051,-,SCO4611,NP_628773.1,197,-,hypothetical protein SCO4611
chr,NC_003888.3,5036030,5037274,-,1100052,-,SCO4612,NP_628774.1,414,-,amino acid transporter
chr,NC_003888.3,5037414,5037680,+,1100053,-,SCO4613,NP_628775.1,88,-,hypothetical protein SCO4613
chr,NC_003888.3,5037788,5038276,-,1100054,-,SCO4614,NP_628776.1,162,-,nucleotide-binding protein
chr,NC_003888.3,5038758,5040125,-,1100055,-,SCO4615,NP_628777.1,455,-,integrase
chr,NC_003888.3,5040186,5040371,-,1100056,-,SCO4616,NP_628778.1,61,-,excisionase
chr,NC_003888.3,5040809,5042281,-,1100057,-,SCO4617,NP_628779.1,490,-,ATP-binding protein
chr,NC_003888.3,5042283,5043134,-,1100058,-,SCO4618,NP_628780.1,283,-,hypothetical protein SCO4618
chr,NC_003888.3,5043224,5043691,-,1100059,-,SCO4619,NP_628781.1,155,-,hypothetical protein SCO4619
chr,NC_003888.3,5043865,5045910,-,1100060,-,SCO4620,NP_628782.1,681,-,sporulation-like protein
chr,NC_003888.3,5045925,5046464,-,1100061,-,SCO4621,NP_628783.1,179,-,sporulation-like protein
chr,NC_003888.3,5046484,5046984,-,1100062,-,SCO4622,NP_628784.1,166,-,hypothetical protein SCO4622
chr,NC_003888.3,5047012,5047170,+,1100063,-,SCO4623,NP_628785.1,52,-,hypothetical protein SCO4623
chr,NC_003888.3,5047328,5047663,-,1100064,-,SCO4624,NP_628786.1,111,-,hypothetical protein SCO4624
chr,NC_003888.3,5047663,5048670,-,1100065,-,SCO4625,NP_628787.1,335,-,hypothetical protein SCO4625
chr,NC_003888.3,5048667,5049200,-,1100066,-,SCO4626,NP_628788.1,177,-,hypothetical protein SCO4626
chr,NC_003888.3,5049197,5049466,-,1100067,-,SCO4627,NP_628789.1,89,-,hypothetical protein SCO4627
chr,NC_003888.3,5049893,5050702,+,1100068,-,SCO4628,NP_628790.1,269,-,regulator
